AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,1809420,0.4,1000,1,18.84,39180,0.5,8.23,9.57,14.35,22.91,34.18,17110,19910,29850,47650,71100,,
02,AK,Alaska,00-0000,All Occupations,total,313170,1,1000,1,24.8,51590,1.4,9.97,13.8,20.65,31.54,43.9,20730,28710,42960,65600,91310,,
04,AZ,Arizona,00-0000,All Occupations,total,2380200,0.6,1000,1,21,43670,0.8,8.6,10.9,16.4,25.52,39.19,17890,22660,34110,53090,81510,,
05,AR,Arkansas,00-0000,All Occupations,total,1139670,0.7,1000,1,17.47,36340,1.1,8.18,9.43,13.68,20.78,30.36,17010,19610,28460,43220,63150,,
06,CA,California,00-0000,All Occupations,total,14038950,0.3,1000,1,24.96,51910,0.4,9.04,11.46,18.52,31.63,48.77,18790,23830,38530,65780,101450,,
08,CO,Colorado,00-0000,All Occupations,total,2179060,0.4,1000,1,22.84,47510,0.5,8.79,11.54,17.82,28.3,42.85,18270,24000,37070,58870,89130,,
09,CT,Connecticut,00-0000,All Occupations,total,1608820,0.6,1000,1,25.4,52830,0.9,9.31,12.65,19.87,31.64,45.57,19360,26310,41320,65810,94780,,
10,DE,Delaware,00-0000,All Occupations,total,403430,1.2,1000,1,22.8,47420,1.6,8.72,11.28,17.4,28.06,42.82,18130,23470,36180,58370,89070,,
11,DC,District of Columbia,00-0000,All Occupations,total,644730,0.9,1000,1,35.84,74540,7.7,11.41,17.61,29.41,48.51,68.35,23730,36630,61180,100900,142170,,
12,FL,Florida,00-0000,All Occupations,total,7151700,0.3,1000,1,19.59,40750,0.4,8.38,10.16,14.79,23.14,35.71,17440,21120,30770,48130,74270,,
13,GA,Georgia,00-0000,All Occupations,total,3779250,0.3,1000,1,20.48,42590,0.4,8.31,9.96,15.25,24.92,37.65,17280,20720,31720,51840,78310,,
15,HI,Hawaii,00-0000,All Occupations,total,577220,1,1000,1,21.44,44600,2,8.85,11.77,17.44,26.53,38.73,18410,24490,36270,55190,80570,,
16,ID,Idaho,00-0000,All Occupations,total,592730,0.8,1000,1,18.52,38520,1,8.33,9.97,14.51,22.36,33.58,17320,20730,30170,46520,69850,,
17,IL,Illinois,00-0000,All Occupations,total,5574180,0.4,1000,1,22.38,46550,0.6,8.98,10.71,16.95,27.97,41.95,18670,22270,35260,58190,87250,,
18,IN,Indiana,00-0000,All Occupations,total,2758100,0.7,1000,1,19.08,39700,0.5,8.39,10.22,15.04,23.05,34.12,17460,21250,31280,47950,70970,,
19,IA,Iowa,00-0000,All Occupations,total,1449110,0.6,1000,1,18.66,38820,0.8,8.44,10.37,14.99,22.35,32.56,17560,21570,31180,46480,67720,,
20,KS,Kansas,00-0000,All Occupations,total,1308070,1.1,1000,1,19.24,40030,0.7,8.38,10.16,14.82,23.26,34.71,17430,21140,30820,48380,72200,,
21,KY,Kentucky,00-0000,All Occupations,total,1732870,0.8,1000,1,18.58,38640,0.5,8.3,9.89,14.62,22.44,32.91,17270,20570,30420,46670,68450,,
22,LA,Louisiana,00-0000,All Occupations,total,1839780,0.4,1000,1,18.65,38780,0.6,8.25,9.65,14.77,22.75,33.22,17150,20080,30730,47310,69090,,
23,ME,Maine,00-0000,All Occupations,total,575640,1.1,1000,1,19.32,40190,0.7,8.76,10.89,15.63,23.06,33.38,18220,22640,32510,47970,69430,,
24,MD,Maryland,00-0000,All Occupations,total,2480670,0.6,1000,1,24.93,51860,0.5,8.83,12.02,19.45,31.55,48.45,18370,25000,40470,65620,100780,,
25,MA,Massachusetts,00-0000,All Occupations,total,3157020,0.4,1000,1,26.32,54740,0.6,9.6,13.17,20.54,33.07,49.54,19970,27390,42730,68780,103040,,
26,MI,Michigan,00-0000,All Occupations,total,3829000,0.4,1000,1,21.01,43700,0.5,8.62,10.8,16.47,26.34,37.94,17930,22460,34260,54780,78900,,
27,MN,Minnesota,00-0000,All Occupations,total,2595450,0.4,1000,1,22.19,46150,0.8,8.82,11.5,17.54,27.38,40.89,18340,23930,36470,56950,85050,,
28,MS,Mississippi,00-0000,All Occupations,total,1073100,0.5,1000,1,16.72,34770,0.7,8.11,9.2,13.11,19.9,29.01,16860,19140,27270,41380,60330,,
29,MO,Missouri,00-0000,All Occupations,total,2591020,0.5,1000,1,19.47,40500,0.6,8.33,10.02,14.99,23.72,35.46,17330,20850,31170,49340,73750,,
30,MT,Montana,00-0000,All Occupations,total,425110,0.9,1000,1,17.71,36840,0.6,8.33,9.88,14.13,21.67,30.87,17330,20550,29390,45080,64220,,
31,NE,Nebraska,00-0000,All Occupations,total,904630,0.6,1000,1,18.82,39140,0.8,8.41,10.29,14.82,22.58,33.45,17500,21400,30830,46960,69570,,
32,NV,Nevada,00-0000,All Occupations,total,1112780,0.8,1000,1,20.13,41860,1,8.52,10.77,15.7,24.51,36.46,17730,22410,32650,50980,75840,,
33,NH,New Hampshire,00-0000,All Occupations,total,606690,0.7,1000,1,21.74,45220,0.8,8.88,11.56,16.99,26.34,39.25,18480,24050,35330,54800,81640,,
34,NJ,New Jersey,00-0000,All Occupations,total,3771250,0.4,1000,1,24.78,51540,0.4,8.94,11.85,19.01,31.49,46.7,18590,24640,39530,65490,97140,,
35,NM,New Mexico,00-0000,All Occupations,total,777640,0.5,1000,1,19.61,40790,1.4,8.48,9.97,14.92,24.15,36.29,17630,20730,31040,50230,75470,,
36,NY,New York,00-0000,All Occupations,total,8427560,0.3,1000,1,25.39,52810,0.5,8.85,11.85,19.02,31.4,48.29,18400,24640,39560,65310,100430,,
37,NC,North Carolina,00-0000,All Occupations,total,3814860,0.3,1000,1,19.83,41250,0.4,8.39,10.24,15.16,23.28,35.83,17450,21300,31540,48420,74520,,
38,ND,North Dakota,00-0000,All Occupations,total,371630,1.4,1000,1,18.69,38870,0.7,8.53,10.64,15.4,22.59,32.06,17740,22130,32040,47000,66680,,
39,OH,Ohio,00-0000,All Occupations,total,4977910,0.4,1000,1,20,41590,0.4,8.43,10.27,15.67,24.7,35.87,17540,21350,32590,51380,74610,,
40,OK,Oklahoma,00-0000,All Occupations,total,1498260,0.8,1000,1,18.36,38190,0.6,8.25,9.66,14.26,21.95,32.82,17160,20090,29660,45650,68270,,
41,OR,Oregon,00-0000,All Occupations,total,1586620,0.6,1000,1,21.29,44290,0.5,9.21,11.36,16.9,25.95,38.51,19160,23620,35140,53970,80100,,
42,PA,Pennsylvania,00-0000,All Occupations,total,5549240,0.3,1000,1,21.19,44070,0.4,8.68,11.09,16.71,25.87,38.11,18060,23060,34750,53820,79270,,
44,RI,Rhode Island,00-0000,All Occupations,total,450980,1,1000,1,22.78,47390,1.4,8.88,11.57,17.72,28.54,42.45,18470,24070,36870,59350,88290,,
45,SC,South Carolina,00-0000,All Occupations,total,1772880,0.5,1000,1,18.54,38560,0.6,8.26,9.72,14.45,22.29,33.41,17170,20220,30050,46370,69500,,
46,SD,South Dakota,00-0000,All Occupations,total,392670,0.4,1000,1,17.01,35390,0.5,8.53,10.3,13.78,19.6,28.46,17740,21420,28660,40770,59210,,
47,TN,Tennessee,00-0000,All Occupations,total,2602320,0.4,1000,1,18.81,39130,0.7,8.31,9.92,14.56,22.3,33.6,17270,20620,30270,46380,69880,,
48,TX,Texas,00-0000,All Occupations,total,10304370,0.3,1000,1,20.72,43090,0.4,8.28,9.87,15.44,25.37,38.68,17210,20520,32120,52770,80450,,
49,UT,Utah,00-0000,All Occupations,total,1165980,0.8,1000,1,19.69,40950,0.7,8.55,10.63,15.41,23.99,35.33,17780,22110,32050,49900,73500,,
50,VT,Vermont,00-0000,All Occupations,total,290830,1.7,1000,1,20.71,43080,1.6,9.32,11.55,16.36,24.43,35.75,19400,24030,34030,50810,74370,,
51,VA,Virginia,00-0000,All Occupations,total,3553360,0.5,1000,1,23.5,48870,1.2,8.59,11.04,17.45,28.94,47.08,17870,22970,36300,60200,97940,,
53,WA,Washington,00-0000,All Occupations,total,2720660,0.5,1000,1,24.17,50280,1.7,9.7,12.88,19.3,30.55,44.38,20170,26790,40140,63550,92320,,
54,WV,West Virginia,00-0000,All Occupations,total,700250,0.7,1000,1,17.42,36220,0.6,8.14,9.23,13.46,21.47,31.05,16920,19200,27990,44650,64580,,
55,WI,Wisconsin,00-0000,All Occupations,total,2645180,0.6,1000,1,19.92,41420,0.5,8.5,10.69,16.04,24.27,35.16,17690,22220,33350,50490,73140,,
56,WY,Wyoming,00-0000,All Occupations,total,272570,1.1,1000,1,20.44,42510,0.8,8.86,11.64,17.37,25.92,35.05,18430,24210,36140,53900,72900,,
66,GU,Guam,00-0000,All Occupations,total,59560,0.9,1000,1,15.31,31840,2.2,7.94,8.81,11.92,18.08,26.9,16520,18330,24780,37610,55950,,
72,PR,Puerto Rico,00-0000,All Occupations,total,930940,1,1000,1,13.07,27190,1.2,7.79,8.42,9.54,14.72,21.5,16210,17510,19850,30620,44720,,
78,VI,Virgin Islands,00-0000,All Occupations,total,43310,2.3,1000,1,18.12,37690,2.1,8.43,10.14,14.35,22.38,32.67,17530,21100,29850,46550,67960,,
