AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,1824400,0.4,1000,1,19.01,39550,0.5,8.24,9.54,14.4,23.12,34.73,17150,19850,29950,48090,72230,,
02,AK,Alaska,00-0000,All Occupations,total,318700,1,1000,1,25.02,52050,1.4,10.01,14,20.92,31.78,43.78,20810,29130,43510,66100,91050,,
04,AZ,Arizona,00-0000,All Occupations,total,2414340,0.6,1000,1,21.13,43950,0.8,8.67,10.79,16.34,25.69,39.56,18040,22430,33980,53430,82280,,
05,AR,Arkansas,00-0000,All Occupations,total,1155020,0.7,1000,1,17.72,36850,1.1,8.21,9.44,13.79,21.08,31.35,17070,19640,28690,43840,65200,,
06,CA,California,00-0000,All Occupations,total,14303630,0.3,1000,1,25.17,52350,0.4,9.04,11.46,18.64,32.09,49.49,18800,23840,38770,66740,102940,,
08,CO,Colorado,00-0000,All Occupations,total,2226160,0.4,1000,1,23.13,48110,0.5,8.88,11.57,17.84,28.52,43.55,18470,24070,37100,59330,90580,,
09,CT,Connecticut,00-0000,All Occupations,total,1620620,0.5,1000,1,25.85,53760,1,9.36,12.73,20.2,32.32,46.55,19470,26480,42030,67220,96830,,
10,DE,Delaware,00-0000,All Occupations,total,405750,1.4,1000,1,23.25,48350,1.6,8.76,11.38,17.65,28.7,43.94,18220,23670,36710,59690,91400,,
11,DC,District of Columbia,00-0000,All Occupations,total,653760,0.7,1000,1,36.51,75950,7.2,11.55,17.64,29.79,49.51,69.56,24020,36690,61960,102980,144680,,
12,FL,Florida,00-0000,All Occupations,total,7273850,0.3,1000,1,19.68,40930,0.4,8.51,10.07,14.72,23.19,35.89,17700,20950,30620,48230,74640,,
13,GA,Georgia,00-0000,All Occupations,total,3815530,0.4,1000,1,20.82,43310,0.5,8.36,10.1,15.48,25.35,38.53,17390,21000,32190,52740,80140,,
15,HI,Hawaii,00-0000,All Occupations,total,588210,1,1000,1,21.54,44790,2.1,8.9,11.82,17.47,26.64,39.22,18510,24590,36350,55410,81580,,
