AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
1,AL,Alabama,00-0000,All Occupations,total,1912990,0.4,1000,1,20.44,42510,0.5,8.45,10.19,15.43,24.7,37.4,17580,21200,32100,51370,77780
2,AK,Alaska,00-0000,All Occupations,total,323500,0.9,1000,1,27.26,56710,0.7,11.01,15,22.68,34.52,48.24,22900,31200,47170,71800,100340
4,AZ,Arizona,00-0000,All Occupations,total,2652990,0.7,1000,1,22.26,46290,0.7,9.1,11.37,17.05,27.03,41.19,18940,23640,35470,56210,85680
5,AR,Arkansas,00-0000,All Occupations,total,1191320,0.7,1000,1,19.03,39590,1.5,8.67,9.87,14.48,22.64,33.59,18030,20540,30130,47080,69860
6,CA,California,00-0000,All Occupations,total,15966580,0.2,1000,1,27.33,56840,0.4,10.3,12.45,19.67,33.84,54.17,21420,25910,40920,70380,112670
8,CO,Colorado,00-0000,All Occupations,total,2507680,0.4,1000,1,25.34,52710,0.6,9.43,12.38,19.09,30.71,48.03,19620,25740,39710,63880,99900
9,CT,Connecticut,00-0000,All Occupations,total,1666280,0.7,1000,1,27.87,57960,0.9,10.14,13.47,21.68,34.55,50.57,21090,28010,45090,71870,105190
10,DE,Delaware,00-0000,All Occupations,total,440760,1.5,1000,1,24.48,50930,1.6,9.19,11.89,18.25,29.91,46.47,19110,24730,37960,62210,96660
11,DC,District of Columbia,00-0000,All Occupations,total,702380,0.6,1000,1,39.88,82950,6.1,12.02,18.7,32.63,53.28,75.6,25000,38890,67870,110820,157240
12,FL,Florida,00-0000,All Occupations,total,8222030,0.4,1000,1,21.18,44050,0.4,8.99,10.8,15.77,24.93,38.26,18700,22470,32790,51850,79590
13,GA,Georgia,00-0000,All Occupations,total,4214410,0.3,1000,1,22.38,46540,0.5,8.55,10.63,16.51,27.18,42.26,17790,22120,34330,56540,87900
15,HI,Hawaii,00-0000,All Occupations,total,632120,0.9,1000,1,23.76,49430,1.9,9.56,12.91,19.24,29.07,43.05,19880,26850,40030,60460,89550
16,ID,Idaho,00-0000,All Occupations,total,663490,0.8,1000,1,20.15,41910,1.1,8.64,10.81,15.77,24.26,36.41,17980,22490,32800,50470,75740
17,IL,Illinois,00-0000,All Occupations,total,5903820,0.3,1000,1,24.76,51500,0.6,9.31,11.57,18.4,30.77,47.2,19360,24060,38270,64010,98170
18,IN,Indiana,00-0000,All Occupations,total,2991260,0.5,1000,1,20.64,42940,0.6,8.7,10.99,16.25,24.82,36.72,18110,22860,33790,51630,76380
19,IA,Iowa,00-0000,All Occupations,total,1534910,0.6,1000,1,20.93,43540,0.7,8.9,11.53,16.72,25.08,36.77,18510,23970,34790,52170,76490
20,KS,Kansas,00-0000,All Occupations,total,1374180,0.8,1000,1,21.13,43950,0.6,8.8,11.2,16.57,25.42,37.97,18300,23300,34460,52860,78980
21,KY,Kentucky,00-0000,All Occupations,total,1869650,0.6,1000,1,20.08,41760,0.6,8.64,10.78,15.96,24.37,35.45,17980,22410,33190,50680,73730
22,LA,Louisiana,00-0000,All Occupations,total,1922170,0.4,1000,1,19.84,41260,0.5,8.38,9.97,15.43,24.2,35.69,17440,20740,32080,50330,74230
23,ME,Maine,00-0000,All Occupations,total,596390,0.7,1000,1,21.24,44180,0.7,9.27,11.84,17.01,25.6,36.96,19270,24640,35380,53240,76870
24,MD,Maryland,00-0000,All Occupations,total,2640900,0.6,1000,1,26.98,56120,0.5,9.34,12.64,20.68,34.05,52.53,19430,26280,43010,70830,109260
25,MA,Massachusetts,00-0000,All Occupations,total,3459910,0.4,1000,1,29.25,60840,0.6,10.66,14.02,22.45,36.47,55.8,22170,29170,46690,75850,116060
26,MI,Michigan,00-0000,All Occupations,total,4212090,0.6,1000,1,22.76,47350,0.6,9.16,11.32,17.32,28.2,42.1,19060,23550,36030,58650,87560
27,MN,Minnesota,00-0000,All Occupations,total,2810400,0.6,1000,1,24.68,51330,0.8,9.66,12.7,19.28,30.08,45.44,20090,26420,40100,62570,94520
28,MS,Mississippi,00-0000,All Occupations,total,1117280,0.7,1000,1,18.41,38300,0.8,8.34,9.68,14.22,22.17,32.09,17350,20130,29590,46110,66740
29,MO,Missouri,00-0000,All Occupations,total,2757850,0.5,1000,1,21.45,44620,0.6,8.81,10.92,16.46,26.06,39.06,18330,22710,34230,54200,81250
30,MT,Montana,00-0000,All Occupations,total,454740,0.9,1000,1,19.92,41440,0.6,9.08,10.98,15.75,24.24,35.02,18890,22830,32750,50410,72840
31,NE,Nebraska,00-0000,All Occupations,total,968000,0.8,1000,1,21.24,44170,0.7,9.43,11.63,16.77,25.6,37.47,19620,24200,34890,53250,77930
32,NV,Nevada,00-0000,All Occupations,total,1270930,0.6,1000,1,21.17,44030,0.6,8.86,11.36,16.59,25.43,38.43,18420,23640,34510,52890,79930
33,NH,New Hampshire,00-0000,All Occupations,total,645050,0.8,1000,1,24.13,50180,0.9,9.32,12.34,18.4,28.87,44.21,19380,25680,38270,60060,91950
34,NJ,New Jersey,00-0000,All Occupations,total,3955350,0.4,1000,1,26.94,56030,0.5,9.52,12.43,20.17,33.74,51.29,19790,25850,41950,70180,106690
35,NM,New Mexico,00-0000,All Occupations,total,805440,0.7,1000,1,21.23,44160,1.8,8.69,10.58,15.82,25.99,40.01,18060,22010,32900,54070,83230
36,NY,New York,00-0000,All Occupations,total,9097650,0.3,1000,1,28.32,58910,0.6,9.55,12.52,20.56,34.79,55.17,19870,26050,42760,72360,114750
37,NC,North Carolina,00-0000,All Occupations,total,4231020,0.3,1000,1,21.77,45280,0.5,8.62,10.79,16.31,25.66,40.04,17940,22440,33920,53380,83280
38,ND,North Dakota,00-0000,All Occupations,total,425200,1.1,1000,1,22.66,47130,0.7,10.08,13.43,18.83,27.59,38.33,20970,27920,39160,57380,79720
39,OH,Ohio,00-0000,All Occupations,total,5337890,0.5,1000,1,22.08,45930,0.5,9.04,11.18,17.19,27.23,39.29,18810,23260,35760,56640,81720
40,OK,Oklahoma,00-0000,All Occupations,total,1586890,0.7,1000,1,20.56,42760,0.5,8.58,10.66,15.93,24.45,37.02,17850,22170,33140,50860,77000
41,OR,Oregon,00-0000,All Occupations,total,1790940,0.7,1000,1,23.9,49710,1.4,10.2,12.39,18.26,28.89,44.56,21220,25770,37990,60080,92680
42,PA,Pennsylvania,00-0000,All Occupations,total,5747020,0.3,1000,1,22.85,47540,0.4,8.94,11.65,17.63,27.99,42.17,18600,24230,36680,58220,87710
44,RI,Rhode Island,00-0000,All Occupations,total,475190,1.7,1000,1,24.96,51920,1.2,9.76,12.37,19.1,30.82,46.3,20310,25720,39730,64100,96300
45,SC,South Carolina,00-0000,All Occupations,total,1979820,0.4,1000,1,19.97,41530,0.6,8.49,10.32,15.45,24.04,36.05,17650,21470,32140,49990,74990
